Certificate,Runtime,Genre,Description,Directors,Stars,Rating
PG-13,120.0,"Action,Comedy,Crime","
    A bored married couple is surprised to learn that they are both assassins hired by competing agencies to kill each other.",Doug Liman," Brad Pitt, Angelina Jolie, Adam Brody, Vince Vaughn",6.5
PG,115.0,"Adventure,Comedy,Family","
    A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",Tim Burton," Johnny Depp, Freddie Highmore, David Kelly, Helena Bonham Carter",6.6
PG-13,116.0,"Adventure,Sci-Fi,Thriller","
    As Earth is invaded by alien tripod fighting machines, one family fights for survival in this sci-fi action film.",Steven Spielberg," Tom Cruise, Dakota Fanning, Tim Robbins, Miranda Otto",6.5
R,116.0,"Comedy,Romance","
    Goaded by his buddies, a nerdy guy who's never ""done the deed"" only finds the pressure mounting when he meets a single mother.",Judd Apatow," Steve Carell, Catherine Keener, Paul Rudd, Romany Malco",7.1
PG-13,187.0,"Action,Adventure,Drama","
    A greedy film producer assembles a team of moviemakers and sets out for the infamous Skull Island, where they find more than just cannibalistic natives.",Peter Jackson," Naomi Watts, Jack Black, Adrien Brody, Thomas Kretschmann",7.2
PG,143.0,"Adventure,Family,Fantasy","
    Four kids travel through a wardrobe to the land of Narnia and learn of their destiny to free it with the guidance of a mystical lion.",Andrew Adamson," Tilda Swinton, Georgie Henley, William Moseley, Skandar Keynes",6.9
PG,86.0,"Animation,Adventure,Comedy","
    A group of animals who have spent all their life in a New York zoo end up in the jungles of Madagascar, and must adjust to living in the wild.","Eric Darnell, Tom McGrath"," Chris Rock, Ben Stiller, David Schwimmer, Jada Pinkett Smith",6.9
R,119.0,"Comedy,Romance","
    John Beckwith and Jeremy Grey, a pair of committed womanizers who sneak into weddings to take advantage of the romantic tinge in the air, find themselves at odds with one another when John meets and falls for Claire Cleary.",David Dobkin," Owen Wilson, Vince Vaughn, Rachel McAdams, Christopher Walken",6.9
R,134.0,"Drama,Romance","
    The story of a forbidden and secretive relationship between two cowboys, and their lives over the years.",Ang Lee," Jake Gyllenhaal, Heath Ledger, Michelle Williams, Randy Quaid",7.7
PG-13,106.0,"Action,Adventure,Family","
    A group of astronauts gain superpowers after a cosmic radiation exposure and must use them to oppose the plans of their enemy, Doctor Victor Von Doom.",Tim Story," Ioan Gruffudd, Michael Chiklis, Chris Evans, Jessica Alba",5.7
PG-13,136.0,"Action,Sci-Fi,Thriller","
    A man living in a futuristic sterile colony begins to question his circumscribed existence when his friend is chosen to go to the Island, the last uncontaminated place on earth.",Michael Bay," Scarlett Johansson, Ewan McGregor, Djimon Hounsou, Steve Buscemi",6.8
R,121.0,"Action,Fantasy,Horror","
    Supernatural exorcist and demonologist John Constantine helps a policewoman prove her sister's death was not a suicide, but something more.",Francis Lawrence," Keanu Reeves, Rachel Weisz, Djimon Hounsou, Shia LaBeouf",7.0
PG-13,118.0,"Comedy,Romance","
    While helping his latest client woo the woman of his dreams, a professional ""date doctor"" finds that his game doesn't quite work on the gossip columnist with whom he's smitten.",Andy Tennant," Will Smith, Eva Mendes, Kevin James, Amber Valletta",6.6
R,122.0,"Action,Crime,Drama","
    An arms dealer confronts the morality of his work as he is being chased by an INTERPOL Agent.",Andrew Niccol," Nicolas Cage, Ethan Hawke, Jared Leto, Bridget Moynahan",7.6
PG-13,119.0,"Action,Adventure,Sci-Fi","
    The crew of the ship Serenity try to evade an assassin sent to recapture one of their members who is telepathic.",Joss Whedon," Nathan Fillion, Gina Torres, Chiwetel Ejiofor, Alan Tudyk",7.8
R,144.0,"Action,Adventure,Drama","
    Balian of Ibelin travels to Jerusalem during the Crusades of the 12th century, and there he finds himself as the defender of the city and its people.",Ridley Scott," Orlando Bloom, Eva Green, Liam Neeson, Martin Hancock",7.2
PG,129.0,"Drama,Romance","
    Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?",Joe Wright," Keira Knightley, Matthew Macfadyen, Brenda Blethyn, Donald Sutherland",7.8
PG,77.0,"Animation,Drama,Family","
    When a shy groom practices his wedding vows in the inadvertent presence of a deceased young woman, she rises from the grave assuming he has married her.","Tim Burton, Mike Johnson"," Johnny Depp, Helena Bonham Carter, Emily Watson, Tracey Ullman",7.3
R,93.0,"Horror,Mystery","
    A detective and his team must rescue 8 people trapped in a factory by the twisted serial killer known as Jigsaw.",Darren Lynn Bousman," Donnie Wahlberg, Beverley Mitchell, Franky G, Emmanuelle Vaugier",6.6
PG-13,136.0,"Biography,Drama,Music","
    A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis, and Carl Perkins.",James Mangold," Joaquin Phoenix, Reese Witherspoon, Ginnifer Goodwin, Robert Patrick",7.8
R,96.0,"Drama,Thriller","
    A mild-mannered man becomes a local hero through an act of violence, which sets off repercussions that will shake his family to its very core in this action thriller.",David Cronenberg," Viggo Mortensen, Maria Bello, Ed Harris, William Hurt",7.4
R,92.0,"Comedy,Drama","
    Satirical comedy follows the machinations of Big Tobacco's chief spokesman, Nick Naylor, who spins on behalf of cigarettes while trying to remain a role model for his twelve-year-old son.",Jason Reitman," Aaron Eckhart, Cameron Bright, Maria Bello, Joan Lunden",7.6
R,103.0,"Action,Comedy,Crime","
    A murder mystery brings together a private eye, a struggling actress, and a thief masquerading as an actor.",Shane Black," Robert Downey Jr., Val Kilmer, Michelle Monaghan, Corbin Bernsen",7.5
R,164.0,"Action,Drama,History","
    Based on the true story of the Black September aftermath, about the five men chosen to eliminate the ones responsible for that fateful day.",Steven Spielberg," Eric Bana, Daniel Craig, Marie-Josée Croze, Ciarán Hinds",7.5
PG-13,87.0,"Action,Thriller","
    Transporter Frank Martin, surfaces in Miami, Florida and is implicated in the kidnapping of the young son of a powerful USA official.",Louis Leterrier," Jason Statham, Amber Valletta, Kate Nauta, Alessandro Gassmann",6.3
PG,109.0,"Adventure,Comedy,Sci-Fi","
    Mere seconds before the Earth is to be demolished by an alien construction crew, journeyman Arthur Dent is swept off the planet by his friend Ford Prefect, a researcher penning a new edition of ""The Hitchhiker's Guide to the Galaxy.""",Garth Jennings," Martin Freeman, Yasiin Bey, Sam Rockwell, Zooey Deschanel",6.8
PG-13,144.0,"Biography,Drama,History","
    The story of James J. Braddock (Russell Crowe), a supposedly washed-up boxer who came back to become a champion and an inspiration in the 1930s.",Ron Howard," Russell Crowe, Renée Zellweger, Craig Bierko, Paul Giamatti",8.0
R,125.0,"Action,Biography,Drama","
    A psychological study of operations desert shield and desert storm during the gulf war; through the eyes of a U.S marine sniper who struggles to cope with the possibility his girlfriend may be cheating on him back home.",Sam Mendes," Jake Gyllenhaal, Jamie Foxx, Lucas Black, Scott MacDonald",7.0
R,94.0,Horror,"
    Three backpackers head to a Slovak city that promises to meet their hedonistic expectations, with no idea of the hell that awaits them.",Eli Roth," Jay Hernandez, Derek Richardson, Eythor Gudjonsson, Barbara Nedeljakova",5.9
PG-13,113.0,"Comedy,Crime,Sport","
    Prison inmates form a football team to challenge the prison guards.",Peter Segal," Adam Sandler, Burt Reynolds, Chris Rock, Nelly",6.4
R,104.0,"Drama,Thriller","
    A teenager meets a man in order to expose him under the suspicion that he abducts underage girls.",David Slade," Patrick Wilson, Ellen Page, Sandra Oh, Odessa Rae",7.1
PG-13,98.0,"Drama,Mystery,Thriller","
    A bereaved woman and her daughter are flying home from Berlin to America. At 30,000 feet, the child vanishes, and nobody will admit she was ever on the plane.",Robert Schwentke," Jodie Foster, Peter Sarsgaard, Sean Bean, Kate Beahan",6.3
R,109.0,"Crime,Drama,Sport","
    A wrongfully expelled Harvard undergrad moves to London, where he is introduced to the violent underworld of football hooliganism.",Lexi Alexander," Elijah Wood, Charlie Hunnam, Claire Forlani, Marc Warren",7.5
PG-13,145.0,"Drama,Romance","
    Nitta Sayuri reveals how she transcended her fishing-village roots and became one of Japan's most celebrated geisha.",Rob Marshall," Ziyi Zhang, Ken Watanabe, Michelle Yeoh, Suzuka Ohgo",7.4
PG-13,90.0,"Comedy,Crime","
    When an affluent couple lose all their money following a series of blunders, they turn to a life of crime to make ends meet.",Dean Parisot," Jim Carrey, Téa Leoni, Alec Baldwin, Richard Jenkins",6.2
R,109.0,"Action,Crime,Drama","
    When their adoptive mother is gunned down in a store robbery the 'four brothers' investigate the murder for themselves & look for the killers, but not all is what it seems.",John Singleton," Mark Wahlberg, Tyrese Gibson, André Benjamin, Garrett Hedlund",6.8
R,129.0,"Drama,Mystery,Romance","
    A widower is determined to get to the bottom of a potentially explosive secret involving his wife's murder, big business, and corporate corruption.",Fernando Meirelles," Ralph Fiennes, Rachel Weisz, Danny Huston, Hubert Koundé",7.4
PG,91.0,"Animation,Adventure,Comedy","
    In a robot world, a young idealistic inventor travels to the big city to join his inspiration's company, only to find himself opposing its sinister new management.","Chris Wedge, Carlos Saldanha"," Ewan McGregor, Halle Berry, Mel Brooks, Robin Williams",6.3
R,128.0,"Drama,Thriller","
    A politically charged epic about the state of the oil industry in the hands of those personally involved in and affected by it.",Stephen Gaghan," George Clooney, Matt Damon, Amanda Peet, Kayvan Novak",6.9
PG-13,93.0,"Action,Adventure,Sci-Fi","
    Aeon Flux is a mysterious assassin working for the Monicans, a group of rebels trying to overthrow the government. When she is sent on a mission to kill the Chairman, a whole new mystery is found.",Karyn Kusama," Charlize Theron, Frances McDormand, Sophie Okonedo, Marton Csokas",5.4
R,114.0,"Biography,Crime,Drama","
    In 1959, Truman Capote learns of the murder of a Kansas family and decides to write a book about the case. While researching for his novel In Cold Blood, Capote forms a relationship with one of the killers, Perry Smith, who is on death row.",Bennett Miller," Philip Seymour Hoffman, Clifton Collins Jr., Catherine Keener, Allie Mickelson",7.3
G,85.0,"Animation,Adventure,Comedy","
    Wallace and his loyal dog, Gromit, set out to discover the mystery behind the garden sabotage that plagues their village and threatens the annual giant vegetable growing contest.","Steve Box, Nick Park"," Peter Sallis, Helena Bonham Carter, Ralph Fiennes, Peter Kay",7.4
PG-13,136.0,"Biography,Drama,Sport","
    Controversy surrounds high school basketball coach Ken Carter after he benches his entire team for breaking their academic contract with him.",Thomas Carter," Samuel L. Jackson, Rick Gonzalez, Robert Ri'chard, Rob Brown",7.3
PG-13,119.0,"Drama,Horror,Thriller","
    A lawyer takes on a negligent homicide case involving a priest who performed an exorcism on a young girl.",Scott Derrickson," Laura Linney, Tom Wilkinson, Shohreh Aghdashloo, Campbell Scott",6.7
PG-13,118.0,"Action,Adventure,Comedy","
    Will and Jake Grimm are traveling con-artists who encounter a genuine fairy-tale curse which requires true courage instead of their usual bogus exorcisms.",Terry Gilliam," Matt Damon, Heath Ledger, Monica Bellucci, Petr Ratimec",5.9
R,113.0,"Horror,Thriller","
    A group of unwitting teens are stranded near a strange wax museum and soon must fight to survive and keep from becoming the next exhibit.",Jaume Collet-Serra," Chad Michael Murray, Paris Hilton, Elisha Cuthbert, Brian Van Holt",5.3
PG-13,85.0,"Action,Mystery,Thriller","
    A woman is kidnapped by a stranger on a routine flight. Threatened by the potential murder of her father, she is pulled into a plot to assist her captor in offing a politician.",Wes Craven," Rachel McAdams, Cillian Murphy, Brian Cox, Laura Johnson",6.4
R,103.0,"Drama,Fantasy,Mystery","
    A Gulf war veteran is wrongly sent to a mental institution for insane criminals, where he becomes the object of a doctor's experiments, and his life is completely affected by them.",John Maybury," Adrien Brody, Keira Knightley, Daniel Craig, Kris Kristofferson",7.1
R,113.0,"Action,Crime,Drama","
    When a family is held hostage, former hostage negotiator Jeff Talley arrives at the scene. Talley's own family is kidnapped and Talley must decide which is more important: saving a family he doesn't even know or saving his own family.",Florent-Emilio Siri," Bruce Willis, Kevin Pollak, Serena Scott Thomas, Jimmy Bennett",6.6
R,105.0,"Action,Adventure,Fantasy","
    Space Marines are sent to investigate strange events at a research facility on Mars but find themselves at the mercy of genetically enhanced killing machines.",Andrzej Bartkowiak," Karl Urban, Rosamund Pike, Dwayne Johnson, Deobia Oparei",5.2
PG-13,104.0,"Drama,Horror,Mystery","
    A hospice nurse working at a spooky New Orleans plantation home finds herself entangled in a mystery involving the house's dark past.",Iain Softley," Kate Hudson, Peter Sarsgaard, Joy Bryant, Gena Rowlands",6.5
R,90.0,Horror,"
    Newlyweds are terrorized by demonic forces after moving into a large house that was the site of a grisly mass murder a year before.",Andrew Douglas," Ryan Reynolds, Melissa George, Jimmy Bennett, Jesse James",6.0
PG-13,96.0,"Comedy,Romance","
    While visiting his hometown during Christmas, a man comes face-to-face with his old high school crush whom he was best friends with -- a woman whose rejection of him turned him into a ferocious womanizer.",Roger Kumble," Ryan Reynolds, Amy Smart, Anna Faris, Chris Klein",6.2
R,110.0,"Action,Crime,Drama","
    A teenage loner pushes his way into the underworld of a high school crime ring to investigate the disappearance of his ex-girlfriend.",Rian Johnson," Joseph Gordon-Levitt, Lukas Haas, Emilie de Ravin, Meagan Good",7.3
R,103.0,"Action,Adventure,Crime","
    A man enslaved by the mob since childhood and raised into behaving like a human attack dog escapes his captors and attempts to start a new life.",Louis Leterrier," Jet Li, Bob Hoskins, Morgan Freeman, Kerry Condon",7.0
PG-13,95.0,"Comedy,Drama,Fantasy","
    A lonely landscape architect falls for the spirit of the beautiful woman who used to live in his new apartment.",Mark Waters," Reese Witherspoon, Mark Ruffalo, Donal Logue, Dina Spybey-Waters",6.7
R,106.0,"Comedy,Drama,Mystery","
    As the extremely withdrawn Don Johnston is dumped by his latest woman, he receives an anonymous letter from a former lover informing him that he has a son who may be looking for him. A freelance sleuth neighbor moves Don to embark on a cross-country search for his old flames in search of answers.",Jim Jarmusch," Bill Murray, Jessica Lange, Sharon Stone, Julie Delpy",7.2
PG-13,128.0,"Crime,Mystery,Thriller","
    Political intrigue and deception unfold inside the United Nations, where a U.S. Secret Service agent is assigned to investigate an interpreter who overhears an assassination plot.",Sydney Pollack," Nicole Kidman, Sean Penn, Catherine Keener, Jesper Christensen",6.4
PG,93.0,"Biography,Drama,History","
    Broadcast journalist Edward R. Murrow looks to bring down Senator Joseph McCarthy.",George Clooney," David Strathairn, George Clooney, Patricia Clarkson, Jeff Daniels",7.4
R,107.0,Horror,"
    The murderous, backwoods Firefly family take to the road to escape a vengeful police force which is not afraid of being as ruthless as their target.",Rob Zombie," Sid Haig, Sheri Moon Zombie, Bill Moseley, William Forsythe",6.8
PG,129.0,"Action,Adventure,Romance","
    Despite trying to keep his swashbuckling to a minimum, a threat to California's pending statehood causes the adventure-loving Don Alejandro de la Vega and his wife, Elena, to take action.",Martin Campbell," Antonio Banderas, Catherine Zeta-Jones, Rufus Sewell, Alberto Reyes",6.0
R,93.0,"Horror,Sci-Fi,Thriller","
    The living dead have taken over the world, and the last humans live in a walled city to protect themselves as they come to grips with the situation.",George A. Romero," John Leguizamo, Asia Argento, Simon Baker, Dennis Hopper",6.2
PG-13,124.0,"Action,Adventure,Comedy","
    Master explorer Dirk Pitt goes on the adventure of a lifetime of seeking out a lost Civil War battleship known as the ""Ship of Death"" in the deserts of West Africa while helping a WHO doctor being hounded by a ruthless dictator.",Breck Eisner," Matthew McConaughey, Penélope Cruz, Steve Zahn, Jude Akuwudike",6.0
PG-13,110.0,"Horror,Mystery","
    6 months after the incidents involving the lethal videotape, new clues prove that there is a new evil lurking in the darkness.",Hideo Nakata," Naomi Watts, David Dorfman, Sissy Spacek, Simon Baker",5.4
PG,101.0,"Action,Adventure,Comedy","
    Two young brothers are drawn into an intergalactic adventure when their house is hurled through the depths of space by the magical board game they are playing.",Jon Favreau," Josh Hutcherson, Jonah Bobo, Dax Shepard, Tim Robbins",6.2
R,94.0,Comedy,"
    Young employees at Shenaniganz restaurant collectively stave off boredom and adulthood with their antics.",Rob McKittrick," Ryan Reynolds, Anna Faris, John Francis Daley, Justin Long",6.8
PG,95.0,"Action,Comedy,Drama","
    Having recovered from wounds received in a failed rescue operation, Navy SEAL Shane Wolfe is handed a new assignment: Protect the five Plummer kids from enemies of their recently deceased father -- a government scientist whose top-secret experiment remains in the kids' house.",Adam Shankman," Vin Diesel, Brittany Snow, Max Thieriot, Brad Garrett",5.6
G,81.0,"Animation,Adventure,Comedy","
    After ruining his reputation with the town, a courageous chicken must come to the rescue of his fellow citizens when aliens start an invasion.",Mark Dindal," Zach Braff, Joan Cusack, Garry Marshall, Don Knotts",5.7
PG-13,135.0,"Biography,Drama,History","
    The story of the English exploration of Virginia, and of the changing world and loves of Pocahontas.",Terrence Malick," Colin Farrell, Q'orianka Kilcher, Christopher Plummer, Christian Bale",6.7
R,101.0,"Drama,Horror,Mystery","
    As a widower tries to piece together his life in the wake of his wife's suicide, his daughter finds solace, at first, in her imaginary friend.",John Polson," Robert De Niro, Dakota Fanning, Famke Janssen, Elisabeth Shue",6.0
R,102.0,"Comedy,Drama","
    A Chicago weather man, separated from his wife and children, debates whether professional and personal success are mutually exclusive.",Gore Verbinski," Nicolas Cage, Hope Davis, Nicholas Hoult, Michael Caine",6.5
PG,100.0,"Adventure,Comedy,Family","
    Set in an era where superheroes are commonly known and accepted, young William Stronghold, the son of the Commander and Jetstream, tries to find a balance between being a normal teenager and an extraordinary being.",Mike Mitchell," Kurt Russell, Kelly Preston, Michael Angarano, Danielle Panabaker",6.2
R,81.0,"Comedy,Drama","
    Follows two young boys dealing with their parents' divorce in Brooklyn in the 1980s.",Noah Baumbach," Owen Kline, Jeff Daniels, Laura Linney, Jesse Eisenberg",7.3
PG-13,104.0,Comedy,"
    Cousins Bo, Luke, and Daisy Duke, and their uncle Jesse, egg on the authorities of Hazzard County, Boss Hogg and Sheriff Coltrane.",Jay Chandrasekhar," Seann William Scott, Johnny Knoxville, Jessica Simpson, Alice Greczyn",5.1
R,99.0,"Drama,Mystery,Thriller","
    This movie focuses on the attempts of a psychiatrist to prevent one of his patients from committing suicide while trying to maintain his own grip on reality.",Marc Forster," Ewan McGregor, Naomi Watts, Ryan Gosling, Kate Burton",6.8
R,109.0,"Action,Crime,Drama","
    A police sergeant must rally the cops and prisoners together to protect themselves on New Year's Eve, just as corrupt policeman surround the station with the intent of killing all to keep their deception in the ranks.",Jean-François Richet," Ethan Hawke, Laurence Fishburne, Gabriel Byrne, Maria Bello",6.3
PG-13,110.0,"Action,Adventure,Crime","
    A group of divers find themselves in deep trouble with a drug lord after they come upon the illicit cargo of a sunken airplane.",John Stockwell," Paul Walker, Jessica Alba, Scott Caan, Ashley Scott",5.9
R,108.0,"Crime,Drama,Thriller","
    When two married business executives having an affair are blackmailed by a violent criminal, the two must turn the tables on him to save their families.",Mikael Håfström," Clive Owen, Jennifer Aniston, Vincent Cassel, Addison Timlin",6.6
PG-13,115.0,"Action,Comedy,Crime","
    After Cheryl Frasier (Heather Burns) and Stan Fields (William Shatner) are kidnapped, Gracie Hart (Sandra Bullock) goes undercover in Las Vegas, Nevada to find them.",John Pasquin," Sandra Bullock, Regina King, William Shatner, Enrique Murciano",5.1
PG-13,118.0,"Comedy,Crime,Drama","
    Disenchanted with the movie industry, Chili Palmer tries the music industry, meeting and romancing a widow of a music executive on the way.",F. Gary Gray," John Travolta, Uma Thurman, Dwayne Johnson, Vince Vaughn",5.6
PG-13,107.0,"Comedy,Drama,Romance","
    Unaquainted Emily and Oliver join the mile high club together on the way from LAX to NYC - end of story except they meet on and off the next 7 years. Are they meant for each other?",Nigel Cole," Ashton Kutcher, Amanda Peet, Taryn Manning, Aimee Garcia",6.6
PG-13,123.0,"Comedy,Drama,Romance","
    During a hometown memorial for his Kentucky-born father, a young man begins an unexpected romance with a too-good-to-be-true stewardess.",Cameron Crowe," Orlando Bloom, Kirsten Dunst, Susan Sarandon, Alec Baldwin",6.4
PG,97.0,"Comedy,Family,Fantasy","
    A governess uses magic to rein in the behavior of seven ne'er-do-well children in her charge.",Kirk Jones," Emma Thompson, Colin Firth, Angela Lansbury, Kelly Macdonald",6.5
R,127.0,"Action,Biography,Crime","
    A recounting of Domino Harvey's life story. The daughter of actor Laurence Harvey turned away from her career as a Ford model to become a bounty hunter.",Tony Scott," Keira Knightley, Mickey Rourke, Edgar Ramírez, Delroy Lindo",5.9
R,116.0,"Action,Crime,Drama","
    A tough-minded drama about two friends in South Central Los Angeles and the violence that comes between them.",David Ayer," Christian Bale, Freddy Rodríguez, Eva Longoria, Chaka Forman",6.9
PG-13,118.0,"Adventure,Drama,Romance","
    The extremely talented Santiago Muñez is spotted by a Newcastle United scout and given a chance at professional football.",Danny Cannon," Kuno Becker, Alessandro Nivola, Anna Friel, Leonardo Guerra",6.7
PG-13,103.0,"Comedy,Drama,Romance","
    An uptight, conservative businesswoman accompanies her boyfriend to his eccentric and outgoing family's annual Christmas celebration and finds that she's a fish out of water in their free-spirited way of life.",Thomas Bezucha," Dermot Mulroney, Sarah Jessica Parker, Claire Danes, Diane Keaton",6.3
PG-13,105.0,"Drama,Horror,Mystery","
    A mother and daughter, still wounded from a bitter custody dispute, hole up in a run-down apartment building. Adding further drama to their plight, they are targeted by the ghost of former resident.",Walter Salles," Jennifer Connelly, Ariel Gade, John C. Reilly, Tim Roth",5.6
PG-13,130.0,"Comedy,Drama,Romance","
    Strait-laced Rose breaks off relations with her party girl sister, Maggie, over an indiscretion involving Rose's boyfriend. The chilly atmosphere is broken with the arrival of Ella, the grandmother neither sister knew existed.",Curtis Hanson," Toni Collette, Cameron Diaz, Shirley MacLaine, Anson Mount",6.4
PG-13,106.0,"Comedy,Drama","
    A young Jewish American man endeavors to find the woman who saved his grandfather during World War II in a Ukrainian village, that was ultimately razed by the Nazis, with the help of an eccentric local.",Liev Schreiber," Elijah Wood, Eugene Hutz, Boris Lyoskin, Jonathan Safran Foer",7.4
PG-13,101.0,"Comedy,Romance","
    The love life of Charlotte is reduced to an endless string of disastrous blind dates, until she meets the perfect man, Kevin. Unfortunately, his merciless mother will do anything to destroy their relationship.",Robert Luketic," Jennifer Lopez, Michael Vartan, Jane Fonda, Wanda Sykes",5.5
PG,80.0,"Animation,Comedy,Crime","
    Little Red Riding Hood, the Wolf, the Woodsman, and Granny all tell the police the events that led up to their encounter.","Cory Edwards, Todd Edwards, Tony Leech"," Anne Hathaway, Glenn Close, Patrick Warburton, Jim Belushi",6.4
PG,94.0,"Adventure,Comedy,Family","
    The Bakers, while on vacation, find themselves competing with a rival family of eight children.",Adam Shankman," Steve Martin, Bonnie Hunt, Hilary Duff, Eugene Levy",5.5
PG,119.0,"Comedy,Drama,Romance","
    Four best girlfriends hatch a plan to stay connected with one another as their lives start off in different directions: they pass around a pair of secondhand jeans that fits each of their bodies perfectly.",Ken Kwapis," Amber Tamblyn, Alexis Bledel, America Ferrera, Blake Lively",6.5
PG-13,97.0,"Comedy,Drama,Romance","
    Sarah Huttinger is a woman who learns that her family was the inspiration for the book and film ""The Graduate"" -- and that she just might be the offspring of the well-documented event.",Rob Reiner," Jennifer Aniston, Mark Ruffalo, Shirley MacLaine, Kevin Costner",5.5
PG-13,121.0,"Action,Adventure,Sci-Fi","
    Deeply ensconced in a top-secret military program, three pilots struggle to bring an artificial intelligence program under control before it initiates the next world war.",Rob Cohen," Josh Lucas, Jessica Biel, Jamie Foxx, Sam Shepard",5.1
R,112.0,"Adventure,Comedy,Drama","
    The fabled romantic Giacomo Casanova, after failing to win the affection of the Venetian woman Francesca Bruni, strives to discover the real meaning of love.",Lasse Hallström," Heath Ledger, Sienna Miller, Jeremy Irons, Oliver Platt",6.5
PG-13,107.0,"Biography,Drama,Sport","
    The film follows the surf and skateboarding trends that originated in Venice, California during the 1970's.",Catherine Hardwicke," Heath Ledger, Emile Hirsch, Victor Rasuk, Johnny Knoxville",7.1
PG-13,127.0,"Biography,Drama,Sport","
    The story of New Zealander Burt Munro, who spent years rebuilding a 1920 Indian motorcycle, which helped him set the land speed world record at Utah's Bonneville Salt Flats in 1967.",Roger Donaldson," Anthony Hopkins, Diane Ladd, Iain Rea, Tessa Mitchell",7.8
PG-13,135.0,"Drama,Musical,Romance","
    This is the film version of the Pulitzer and Tony Award winning musical about Bohemians in the East Village of New York City struggling with life, love and AIDS, and the impacts they have on America.",Chris Columbus," Taye Diggs, Wilson Jermaine Heredia, Rosario Dawson, Anthony Rapp",6.9
PG-13,90.0,"Comedy,Romance","
    Single-girl anxiety causes Kat Ellis to hire a male escort to pose as her boyfriend at her sister's wedding. Her plan, an attempt to dupe her ex-fiancé, who dumped her a couple years prior, proves to be her undoing.",Clare Kilner," Dermot Mulroney, Debra Messing, Jack Davenport, Amy Adams",6.2
PG-13,101.0,"Drama,Horror,Mystery","
    An architect's desire to speak with his wife from beyond the grave becomes an obsession with supernatural repercussions.",Geoffrey Sax," Michael Keaton, Deborah Kara Unger, Ian McNeice, Chandra West",5.5
R,96.0,"Comedy,Crime,Thriller","
    A globetrotting hitman and a crestfallen businessman meet in a hotel bar in Mexico City in an encounter that draws them together in a way neither expected.",Richard Shepard," Pierce Brosnan, Greg Kinnear, Hope Davis, Arlin Miller",6.7
R,117.0,"Biography,Crime,Drama","
    A tale of an inner city drug dealer who turns away from crime to pursue his passion, rap music.",Jim Sheridan," 50 Cent, Joy Bryant, Adewale Akinnuoye-Agbaje, Omar Benson Miller",5.4
R,122.0,"Crime,Drama,Sport","
    After suffering a career-ending knee injury, a former college football star aligns himself with one of the most renowned touts in the sports-gambling business.",D.J. Caruso," Matthew McConaughey, Al Pacino, Rene Russo, Armand Assante",6.3
PG-13,100.0,"Drama,Mystery","
    The daughter of a brilliant but mentally disturbed mathematician, recently deceased, tries to come to grips with her possible inheritance: his insanity. Complicating matters are one of her father's ex-students, who wants to search through his papers, and her estranged sister, who shows up to help settle his affairs.",John Madden," Gwyneth Paltrow, Anthony Hopkins, Hope Davis, Jake Gyllenhaal",6.7
PG-13,104.0,"Comedy,Drama,Romance","
    Lindsay is stuck in the middle of her relationship with Ben and his passion for the Boston Red Sox.","Bobby Farrelly, Peter Farrelly"," Drew Barrymore, Jimmy Fallon, Jason Spevack, Jack Kehler",6.2
PG-13,134.0,"Comedy,Musical","
    After putting together another Broadway flop, down-on-his-luck Producer Max Bialystock teams up with timid accountant Leo Bloom in a get-rich-quick scheme to put on the world's worst show.",Susan Stroman," Nathan Lane, Matthew Broderick, Uma Thurman, Will Ferrell",6.3
R,103.0,"Adventure,Comedy,Drama","
    A preoperative transgender woman takes an unexpected journey when she learns that she fathered a son, now a teenage runaway hustling on the streets of New York.",Duncan Tucker," Felicity Huffman, Kevin Zegers, Fionnula Flanagan, Andrea James",7.4
PG-13,105.0,"Comedy,Romance","
    A young woman, Theresa, brings her boyfriend, Simon, home to meet her parents and surprise them with the news of their engagement. Another surprise: Simon is white.",Kevin Rodney Sullivan," Ashton Kutcher, Bernie Mac, Zoe Saldana, Judith Scott",5.9
PG-13,105.0,"Comedy,Drama,Romance","
    A career driven professional from Manhattan is wooed by a young painter, who also happens to be the son of her psychoanalyst.",Ben Younger," Uma Thurman, Meryl Streep, Bryan Greenberg, Jon Abrahams",6.2
R,126.0,Drama,"
    A fictionalized account of the first major successful sexual harassment case in the United States, Jenson vs. Eveleth Mines, where a woman who endured a range of abuse while working as a miner filed and won the landmark 1984 lawsuit.",Niki Caro," Charlize Theron, Jeremy Renner, Frances McDormand, Thomas Curtis",7.3
R,121.0,"Adventure,Crime,Drama","
    Ranch foreman Pete Perkins looks to fulfill the promise to his recently deceased best friend by burying him in his hometown in Mexico.",Tommy Lee Jones," Tommy Lee Jones, Barry Pepper, Dwight Yoakam, January Jones",7.4
R,116.0,"Crime,Drama,Music","
    With help from his friends, a Memphis pimp in a mid-life crisis attempts to become a successful hip-hop emcee.",Craig Brewer," Terrence Howard, Ludacris, Anthony Anderson, Taryn Manning",7.3
